"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
9521,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_10.432","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","Not the top hit","Full match","No results",-4.29,379.12014,380.12742,10.432,7237086.31669055,2,73.1,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",1730676.42980647,6.1
9521,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_10.432","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","Not the top hit","Full match","No results",-4.29,379.12014,380.12742,10.432,7237086.31669055,2,73.1,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",7237086.31669055,5.7
9521,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_10.432","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","Not the top hit","Full match","No results",-4.29,379.12014,380.12742,10.432,7237086.31669055,2,73.1,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_b",6187722.10198462,5.9
9521,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_10.432","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","Not the top hit","Full match","No results",-4.29,379.12014,380.12742,10.432,7237086.31669055,2,73.1,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_c",6087495.33603909,7.5
9523,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_9.351","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","No match","Full match","No results",-3.94,379.12028,380.12755,9.351,7230280.7970373,2,80.4,9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",7230280.7970373,5.7
9553,"10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline_14.055","10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline","C16 H12 F3 N3","No match","Full match","No results",-0.16,303.09828,304.10556,14.055,7193691.68706412,2,88.7,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",7193691.68706412,5.1
9553,"10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline_14.055","10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline","C16 H12 F3 N3","No match","Full match","No results",-0.16,303.09828,304.10556,14.055,7193691.68706412,2,88.7,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",5363424.63330398,7.5
9553,"10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline_14.055","10-Methyl-7-(trifluoromethyl)-5,6-dihydrobenzo[h]pyrazolo[5,1-b]quinazoline","C16 H12 F3 N3","No match","Full match","No results",-0.16,303.09828,304.10556,14.055,7193691.68706412,2,88.7,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",2764956.49139651,8
9604,"Docosahexaenoic acid ethyl ester_18.154","Docosahexaenoic acid ethyl ester","C24 H36 O2","Not the top hit","Full match","No results",-0.08,356.2715,357.27878,18.154,7129852.09570642,2,87.5,80.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_c",1126928.49300922,7.7
9604,"Docosahexaenoic acid ethyl ester_18.154","Docosahexaenoic acid ethyl ester","C24 H36 O2","Not the top hit","Full match","No results",-0.08,356.2715,357.27878,18.154,7129852.09570642,2,87.5,80.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_a",6775695.15094759,7.3
