"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",374.12262,375.1299,9.574,"mz_cloud",9130518.60940353,"francistown wwtp surface water"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",374.12262,375.1299,9.574,"mz_cloud",669531.320953133,"glen valley (reclamation) surface water"
8068,"(7E,13E)-11,12-Dihydroxy-3-isobutyl-4,5,8-trimethyl-3,3a,4,6a,9,10,11,12-octahydro-1H-cycloundeca[d]isoindole-1,15(2H)-dione","C24 H35 N O4",401.25672,402.26396,19.047,"mz_cloud",742692.048363868,"maun beach (after) surface water"
736,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",260.10496,261.11224,10.546,"mz_cloud",11185218.487969,"kasane wwtp (overflow) surface water"
7776,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",260.10503,261.11231,16.86,"mz_cloud",291744.028614821,"kasane (main) surface water"
5133,"(±)-Abscisic acid","C15 H20 O4",264.13625,265.14353,18.784,"mz_cloud",689493.715357017,"lecheng stream surface water"
901,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14351,16.802,"mz_cloud",875863.270139975,"palapye wwtp surface water"
901,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14351,16.802,"mz_cloud",1794163.12195434,"francistown wwtp surface water"
901,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14351,16.802,"mz_cloud",3630406.02800895,"kasane wwtp (main) surface water"
5133,"(±)-Abscisic acid","C15 H20 O4",264.13625,265.14353,18.784,"mz_cloud",1332372.39765028,"kasane (main) surface water"
